
2026/03/10 (11:06:26) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (16:58:40) | ===> btop++ v.1.4.6
2026/03/11 (16:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (16:58:40) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (17:32:41) | ===> btop++ v.1.4.6
2026/03/11 (17:32:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (17:32:41) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (18:16:32) | ===> btop++ v.1.4.6
2026/03/11 (18:16:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (18:16:32) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (18:17:58) | ===> btop++ v.1.4.6
2026/03/11 (18:17:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (18:17:58) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (20:30:15) | ===> btop++ v.1.4.6
2026/03/11 (20:30:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (20:30:15) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (21:02:16) | ===> btop++ v.1.4.6
2026/03/11 (21:02:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (21:02:16) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (21:13:05) | ===> btop++ v.1.4.6
2026/03/11 (21:13:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (21:13:05) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/11 (21:15:25) | ===> btop++ v.1.4.6
2026/03/11 (21:15:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/11 (21:15:25) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/12 (12:38:59) | ===> btop++ v.1.4.6
2026/03/12 (12:38:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/12 (12:38:59) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/12 (12:39:39) | ===> btop++ v.1.4.6
2026/03/12 (12:39:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/12 (12:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/13 (09:48:05) | ===> btop++ v.1.4.6
2026/03/13 (09:48:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/13 (09:48:05) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/13 (15:42:02) | ===> btop++ v.1.4.6
2026/03/13 (15:42:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/13 (15:42:02) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/13 (18:42:02) | ===> btop++ v.1.4.6
2026/03/13 (18:42:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/13 (18:42:02) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/14 (11:40:54) | ===> btop++ v.1.4.6
2026/03/14 (11:40:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/14 (11:40:54) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/14 (11:43:53) | ===> btop++ v.1.4.6
2026/03/14 (11:43:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/14 (11:43:53) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/14 (11:44:25) | ===> btop++ v.1.4.6
2026/03/14 (11:44:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/14 (11:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/14 (20:15:32) | ===> btop++ v.1.4.6
2026/03/14 (20:15:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/14 (20:15:32) | WARNING: Intel GPU: Failed to initialize PMU
